,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
CD68,0,0,0,0,0,0,0,4,0,0,0,3,0,0
CD70,53,53,26,26,15,28,66,11,49,8,17,11,16,2
CD74,1,2,2,3,2,0,0,0,3,0,0,5,0,0
CD81,11,13,9,20,11,23,4,24,12,0,3,5,7,0
ADGRE5,111,98,83,65,34,86,44,97,76,12,22,32,31,30
CD151,2,0,0,0,0,1,11,0,0,0,0,0,0,0
CDA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CDK1,83,51,49,72,72,64,31,24,24,5,2,31,8,6
LRBA,9,7,1,5,2,4,6,4,4,1,1,0,4,1
CDC5L,9,5,7,7,4,16,0,1,7,4,0,2,4,6
SEPTIN7,16,36,16,40,22,9,30,13,24,3,9,15,2,3
CDC6,30,32,36,55,21,33,12,8,23,0,2,4,8,22
CDC20,20,22,12,23,6,22,14,17,3,2,0,6,6,12
CDC25A,115,108,67,115,37,90,120,36,97,11,40,35,21,12
CDC25B,72,41,16,35,26,27,16,24,18,1,0,13,1,3
CDC25C,40,11,10,29,3,25,18,8,14,6,1,1,0,0
CDC27,39,43,67,26,33,66,50,6,54,13,16,28,22,6
CDC34,8,4,5,31,9,25,8,6,0,0,0,5,13,0
CDC42,43,16,24,36,44,40,8,4,53,1,10,18,12,5
CDK2,60,66,27,63,27,47,48,39,48,0,0,8,6,8
CDK3,11,19,13,14,3,16,3,4,8,0,0,1,10,1
CDK4,34,19,16,18,10,13,30,21,18,2,0,1,10,2
CDK5,0,2,2,3,0,5,0,0,2,0,0,0,0,0
CDK6,521,457,330,660,356,455,241,251,395,202,274,461,379,185
CDK7,4,3,1,0,7,4,1,1,0,0,0,9,0,0
CDK8,13,6,12,12,12,11,3,0,12,4,5,13,15,3
CDK9,18,10,6,15,10,11,5,4,0,0,0,2,1,2
CDKN1A,65,73,72,154,109,142,51,42,64,0,0,8,33,20
CDKN1B,326,273,220,280,219,263,177,83,344,71,91,173,127,70
CDKN1C,1,1,0,0,0,1,0,0,0,0,0,2,0,0
CDKN2C,116,80,53,109,116,157,79,40,104,11,24,123,54,46
CDKN2D,136,94,90,179,92,99,79,22,98,1,2,4,17,31
CDKN3,3,5,9,11,5,3,1,0,6,0,0,0,6,3
CDR2,10,1,8,18,8,24,2,0,15,0,0,0,5,1
CEACAM5,0,0,0,0,0,5,0,0,0,1,0,0,0,0
CEBPA,2411,1923,1504,1925,878,1560,1160,974,1631,44,97,210,185,156
CEBPB,90,40,65,67,47,85,31,10,44,0,0,5,4,4
CEBPD,245,165,168,141,66,96,79,38,93,1,0,9,9,3
CEBPE,27,46,9,8,2,7,7,2,13,0,0,0,0,1
CEBPG,91,45,35,42,16,42,37,21,42,0,3,13,23,2
CEL,0,0,0,0,0,1,0,0,0,0,3,0,0,0
CENPA,26,11,18,18,11,15,1,0,16,0,0,0,2,0
CENPB,64,47,36,46,21,39,14,27,71,0,0,10,5,8
CENPC,2,4,2,7,0,0,0,2,0,0,0,0,0,0
CENPE,7,6,4,8,0,3,5,0,13,2,3,3,2,0
CENPF,50,42,25,79,40,31,35,20,18,7,10,0,0,21
CES1,33,62,38,7,7,20,33,44,43,8,15,6,6,0
CETN2,0,2,0,0,3,0,0,0,0,0,0,0,0,0
CETN3,8,0,3,1,1,1,0,0,4,0,0,0,4,0
CFL1,138,78,65,188,149,216,64,41,118,4,8,85,32,35
CFL2,14,7,10,9,6,6,0,1,8,0,0,0,0,0
CTSC,45,46,57,19,13,25,0,9,22,4,1,1,1,2
RCBTB2,4,12,4,20,2,11,3,3,8,1,0,0,0,0
RCC1,48,21,39,26,22,37,10,3,25,1,2,7,7,0
CHD1,34,31,9,16,25,6,22,5,46,5,0,10,12,0
CHD2,34,10,24,15,44,45,20,0,16,10,33,25,22,12
CHD3,13,3,20,5,1,0,23,21,13,1,5,0,0,5
CHD4,104,61,39,64,55,75,46,37,53,26,27,15,11,25
CHEK1,17,13,9,1,0,6,4,6,2,1,1,7,0,1
FOXN3,118,101,63,145,81,108,67,42,69,20,36,64,72,35
CHI3L1,3,1,2,0,0,0,0,0,6,0,0,0,0,0
CHKA,58,21,33,87,85,52,21,14,67,16,7,27,27,6
CHKB,3,4,5,0,0,2,7,8,3,0,0,0,9,0
CHM,9,3,1,9,0,19,1,1,0,2,14,1,1,9
CHML,47,23,18,20,13,6,1,14,11,4,4,8,0,0
CHN2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LYST,230,110,125,141,181,178,111,51,238,86,79,148,129,78
CHRNA5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHRNA7,10,8,10,8,10,30,0,7,5,1,3,6,33,18
CHRNB1,28,6,4,9,7,7,5,0,8,0,0,4,1,0
CHUK,40,4,21,13,17,13,2,0,16,2,1,11,14,7
CKB,0,0,0,0,0,2,0,0,5,0,0,0,0,0
CIRBP,107,104,146,192,131,279,126,142,195,13,10,112,103,96
CISH,149,112,95,114,44,84,83,67,117,16,26,15,17,31
TBCB,31,16,17,39,13,29,25,15,0,0,0,8,16,1
ERCC8,0,0,0,0,2,0,5,0,1,0,0,1,0,0
CKS1B,239,165,120,366,153,365,92,79,153,1,2,113,87,71
CKS2,90,54,36,63,48,67,25,27,27,4,15,0,27,15
AP2M1,4,1,11,9,5,12,1,20,3,0,0,0,11,0
AP1S1,6,3,3,0,1,2,7,0,10,0,0,4,0,1
AP2S1,11,12,14,23,11,4,5,6,5,0,11,4,5,0
AP3S1,9,3,0,2,9,3,16,0,9,0,0,2,0,9
CLC,3,5,11,0,0,0,2,0,0,0,0,0,0,8
CLCN2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CLCN3,7,4,0,2,1,11,3,0,6,2,0,0,4,0
CLCN5,11,3,4,3,0,6,1,0,6,3,2,4,2,5
CLCN6,9,8,3,2,0,3,0,4,9,0,4,7,4,3
CLCN7,8,14,9,8,12,5,5,10,23,1,6,12,12,9
CLU,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CLIC1,161,108,97,79,34,78,70,40,100,4,10,27,5,4
CLK1,162,188,159,232,133,283,95,71,153,2,13,101,81,83
CLK2,13,35,9,22,14,21,8,21,9,0,7,0,8,9
CLK2P1,0,1,0,4,0,2,0,1,0,0,0,11,5,0
CLK3,44,26,16,31,14,17,22,21,30,14,5,23,12,11
TPP1,29,6,4,20,4,3,10,11,5,0,0,0,0,0
CLN3,29,10,8,4,3,12,10,20,6,4,0,0,3,0
CLN5,0,3,6,12,4,4,23,1,3,0,0,0,0,0
CLNS1A,43,48,55,58,25,45,8,24,77,2,2,8,16,6
CLPTM1,2,2,4,0,1,12,3,6,0,0,0,2,0,0
CLTA,190,148,97,141,67,136,120,78,178,5,24,77,69,66
CLTB,1,5,0,4,1,0,7,3,0,0,0,0,0,0
CLTC,81,44,51,67,45,58,18,17,54,17,29,44,35,27
CCR1,36,54,53,0,2,4,18,15,54,0,3,4,0,2
CCR6,0,3,0,0,0,2,0,0,0,0,0,0,0,0
LTB4R,12,15,9,2,3,10,5,20,3,1,0,7,0,0
PLK3,17,28,14,36,16,29,7,0,10,0,0,4,0,9
CNN2,0,4,2,2,0,4,0,5,2,0,0,1,0,0
CNP,2,3,13,11,14,12,14,0,16,0,0,0,0,5
COL4A1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COL8A2,15,2,7,1,5,0,0,0,6,0,0,0,0,0
COL9A3,6,0,4,0,3,0,2,0,0,0,0,0,0,0
COMT,17,12,15,2,5,8,3,2,11,0,0,6,0,2
COPA,38,33,24,50,16,39,43,10,22,12,5,26,19,26
COPB1,24,8,9,7,18,15,16,5,22,3,0,2,0,2
KLF6,180,230,145,245,142,227,69,47,226,14,10,53,59,73
SLC31A1,1,7,3,0,0,2,2,0,0,0,3,0,0,0
SLC31A2,0,1,7,3,3,2,0,0,0,0,0,0,0,0
CORT,3,3,1,2,1,0,0,0,0,0,0,0,0,0
MAP3K8,2,0,0,6,0,6,0,0,0,6,0,5,0,1
COX4I1,44,37,56,29,31,32,41,27,44,1,2,35,5,12
COX5B,29,11,16,12,11,34,1,2,15,2,2,2,0,0
COX6A1,27,10,14,42,32,35,4,10,19,0,0,42,4,4
COX6B1,21,12,6,18,20,24,3,1,9,0,0,14,6,13
COX6C,45,23,7,21,5,17,8,13,35,0,2,4,29,8
COX7A2,69,65,47,49,47,53,78,36,47,1,0,33,17,20
COX7B,31,16,20,25,27,24,5,13,19,0,0,6,13,2
COX7C,47,35,14,9,9,35,11,22,10,1,3,11,12,4
COX8A,47,39,49,85,46,60,36,38,50,0,5,16,17,28
COX10,9,7,6,19,10,4,6,17,15,5,7,2,6,4
COX11,24,21,4,14,2,19,1,2,10,0,0,0,0,3
COX15,1,5,1,3,11,12,3,0,0,0,0,3,1,0
CP,0,0,1,0,0,0,0,0,0,0,0,0,4,0
CPD,12,5,14,20,14,17,3,5,22,4,9,0,0,0
CLDN7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CPM,26,16,15,15,9,8,0,5,0,1,6,0,0,0
CPOX,11,6,12,3,6,15,4,7,10,0,1,1,0,3
CPS1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CPT1A,59,37,40,66,25,49,22,24,52,23,25,28,26,24
CPT1B,6,3,3,3,2,3,2,19,0,0,0,4,0,19
CPT2,11,25,4,28,8,26,2,8,0,0,1,3,3,0
CRABP2,0,0,0,0,0,2,0,0,0,0,0,3,0,0
CREB1,51,35,38,20,19,47,7,10,39,20,17,15,26,2
ATF2,25,16,2,6,8,5,8,2,14,0,3,3,1,0
CREBBP,27,15,16,17,6,11,42,22,23,5,11,3,18,21
ATF6B,9,12,6,3,2,7,12,1,10,0,0,3,0,0
CREBL2,7,15,1,4,2,5,0,0,0,0,0,0,0,0
CREM,3,0,8,1,5,16,0,0,0,2,0,0,1,6
CRIP1,0,3,0,0,3,2,0,0,0,0,0,0,0,0
CRK,5,15,2,14,3,16,0,0,0,0,0,5,0,1
CRKL,22,32,29,28,24,48,19,7,28,1,0,12,21,1
CRY1,1,0,3,3,5,0,5,3,8,2,4,0,0,3
CRY2,15,16,8,11,6,15,4,0,11,0,0,4,6,2
CRYGS,0,0,0,11,3,4,0,5,0,0,0,0,0,0
CRYZ,1,1,5,4,1,12,0,1,12,0,0,0,0,0
CS,19,21,6,11,8,15,14,13,21,6,0,9,3,7
MAPK14,43,24,29,54,29,43,13,23,63,26,30,11,8,4
CSE1L,47,21,18,24,16,47,13,17,11,6,2,2,0,5
CSF1R,0,1,0,2,0,0,0,3,0,0,0,0,0,0
CSF2RA,0,0,0,0,5,2,0,0,0,0,0,0,0,0
CSF2RB,2,0,0,0,1,1,0,0,5,0,0,0,0,0
CSF3R,8,0,4,0,0,1,0,0,0,0,0,4,4,0
CSK,13,17,27,13,6,8,21,13,14,2,2,10,2,1
CSNK1A1,39,15,5,26,14,9,3,14,23,2,3,5,0,1
CSNK1D,35,54,22,34,25,25,33,21,50,4,3,27,11,22
CSNK1E,50,51,42,25,18,30,15,14,45,2,10,23,16,2
CSNK1G2,121,50,38,97,35,77,32,30,83,15,17,43,17,10
CSNK1G3,6,12,4,20,8,12,3,5,2,2,3,0,1,6
CSNK2A1,66,53,30,67,14,33,5,5,51,8,9,14,8,1
CSNK2A2,21,28,9,47,15,42,5,5,12,2,7,11,19,0
CSNK2B,2,8,3,1,0,3,0,1,0,0,0,0,0,0
VCAN,0,0,5,0,0,0,0,0,0,0,0,0,0,2
CSPG4,2,4,0,0,1,0,0,2,0,0,0,0,0,0
CSRP1,0,0,0,4,8,3,0,9,4,0,1,6,3,3
SLC25A10,3,2,0,0,0,5,0,0,0,0,0,0,0,0
CST3,8,9,14,18,0,1,0,0,4,0,0,0,0,4
CSTA,6,16,22,21,29,32,21,30,33,0,0,9,6,0
CSTB,17,13,32,45,22,41,7,5,13,0,1,15,5,3
CSTF1,36,19,17,10,5,17,11,6,4,3,0,4,6,5
CSTF2,25,13,6,15,1,6,0,16,6,0,0,0,0,0
CSTF3,58,23,38,52,44,58,34,9,26,4,9,44,64,11
CTBS,2,11,9,1,0,2,6,8,16,0,0,6,0,0
CTBP1,69,44,31,71,16,63,21,11,23,3,7,6,12,17
CTBP2,37,41,17,19,10,23,51,22,28,17,9,5,7,12
CTH,3,1,3,2,2,8,2,3,0,0,0,0,1,0
CTNNA1,11,0,2,10,1,10,0,5,0,0,5,4,5,7
CTNS,8,7,8,4,4,5,6,0,14,0,0,2,1,0
CTNNB1,85,40,60,93,69,41,30,21,55,0,6,12,3,10
CTNND1,1,0,7,1,2,2,0,0,0,0,0,2,0,0
CTPS1,49,21,13,12,14,17,5,18,11,0,0,2,0,0
CTRL,2,0,2,5,0,1,0,0,0,0,0,7,4,0
CTSB,21,31,14,33,30,42,31,29,38,3,3,17,3,3
CTSD,6,15,9,7,7,3,3,4,15,0,0,4,1,2
CTSG,22,29,1,0,0,0,0,6,4,0,0,1,0,2
CTSH,0,0,0,0,0,1,0,0,0,0,0,7,0,0
CTSK,0,0,1,3,5,0,0,1,0,0,0,2,3,0
CTSL,0,0,2,0,0,0,0,1,6,0,0,0,0,0
CTSO,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CTSS,8,12,17,3,3,6,0,0,16,1,0,0,7,0
CTSZ,2,6,2,0,0,5,3,0,0,0,1,0,0,0
CUX1,95,66,71,145,111,151,55,31,73,56,30,107,71,56
CYB5A,0,5,2,0,0,0,0,1,0,0,0,0,1,0
CYB561,35,10,8,2,1,3,4,3,6,3,1,0,0,0
CYBA,3,3,0,2,1,0,0,1,1,0,2,0,5,0
CYBB,3,0,3,0,1,2,5,0,2,3,4,0,2,0
CYC1,31,24,17,43,31,33,13,10,41,2,0,15,11,0
CYLD,20,18,28,22,13,24,9,20,27,3,9,1,15,0
CYP1B1,323,346,266,147,109,186,91,99,168,21,14,16,26,37
CYP2E1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CYP11A1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
CYP27A1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CYP27B1,0,0,0,4,1,7,0,0,0,5,0,0,0,0
CYP51A1,10,7,10,16,12,15,0,11,3,2,0,0,0,0
DACH1,121,110,90,122,85,149,95,63,98,14,21,95,68,56
DAD1,12,3,7,9,7,7,12,0,3,0,0,0,8,0
CD55,3,10,2,1,2,0,6,3,8,0,0,0,0,0
DAG1,18,15,3,22,15,22,2,6,1,1,0,7,5,8
DGKA,5,4,0,0,0,0,0,0,0,0,0,0,1,0
DGKG,10,6,3,14,3,4,3,0,5,1,0,7,5,6
DGKQ,9,4,0,15,10,10,6,1,3,0,0,1,0,1
DAP,55,18,12,57,25,21,32,14,39,11,8,11,39,9
DAPK1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DAPK3,4,5,19,9,8,19,9,6,3,0,0,7,9,0
DARS1,63,31,16,16,9,26,48,14,23,12,5,15,1,0
DAXX,128,88,91,91,78,94,43,35,106,1,1,31,24,6
DBI,85,49,51,122,60,70,8,13,55,2,0,27,7,15
DBN1,17,9,13,1,0,3,3,0,7,5,0,3,0,0
DBP,2,2,0,7,1,1,0,0,0,0,0,0,0,0
DBT,27,14,11,25,21,40,11,11,13,4,7,19,12,7
ECI1,8,2,2,14,3,3,0,1,0,0,0,0,1,0
DCK,1,5,7,1,0,0,0,0,6,0,0,0,0,0
DCTD,5,6,1,9,2,12,3,0,3,0,0,1,4,1
DCTN1,0,7,2,5,0,2,0,0,2,0,0,0,0,0
DDB1,35,32,20,58,40,40,30,14,40,3,6,10,14,6
DDB2,23,13,13,20,5,24,11,3,21,6,7,6,5,14
AKR1C1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C2,9,2,2,0,1,0,0,0,12,0,0,0,0,0
GADD45A,34,24,12,27,32,30,3,5,10,1,0,3,2,4
DDIT3,59,24,46,65,35,72,12,9,30,0,4,6,16,2
DDOST,32,15,15,20,12,31,13,6,33,0,0,3,12,2
DDT,77,31,35,37,35,67,41,37,61,0,0,16,15,13
DDX1,10,10,2,8,9,10,9,4,13,7,5,9,6,3
DDX3X,71,62,43,72,48,84,28,41,36,3,5,17,12,0
DDX5,200,126,125,224,178,226,72,59,143,5,3,66,80,32
DDX6,209,176,119,166,94,137,103,48,199,37,37,71,78,54
DMXL1,10,0,1,1,2,1,0,1,0,0,0,0,0,0
DHX8,19,13,5,13,21,17,1,11,1,1,0,15,10,5
DHX9,64,25,16,49,33,38,22,6,48,14,10,17,43,2
DDX10,6,11,5,12,8,15,2,1,11,8,10,21,10,0
DDX11,2,10,11,31,4,17,20,7,10,0,2,0,13,0
DHX15,32,31,40,43,33,39,33,47,48,3,4,19,16,2
DECR1,6,2,0,8,4,0,3,0,4,5,0,0,0,7
CFD,74,17,24,114,99,166,37,70,52,4,12,28,24,17
DFFA,0,6,3,4,5,0,6,6,0,1,0,0,2,0
DFFB,20,7,14,5,6,9,0,2,18,0,1,0,0,5
TIMM8A,23,43,26,9,8,25,12,10,23,0,0,5,4,0
GSDME,3,0,0,4,0,0,0,0,0,0,0,0,0,0
COCH,1,10,3,1,2,0,0,0,8,0,0,0,0,0
DGUOK,33,22,9,20,23,30,10,22,9,3,10,18,7,16
DHCR7,7,5,1,17,0,17,0,2,14,0,1,4,1,3
DHCR24,100,57,50,145,67,85,30,29,48,2,14,14,23,9
DHFR,226,151,130,229,77,156,32,37,112,18,28,29,65,47
DHODH,25,6,3,5,0,0,10,3,4,0,6,1,3,0
DHPS,2,5,4,7,6,9,10,6,9,0,0,10,0,0
CYB5R3,11,12,3,10,3,3,10,18,5,9,8,0,4,9
NQO1,0,0,0,0,0,0,0,0,9,0,1,0,0,0
DIAPH1,82,52,61,61,40,52,35,28,66,40,24,45,16,9
DIAPH2,2,2,6,0,5,7,2,1,4,0,0,0,1,0
DKC1,73,70,78,39,38,64,49,17,39,4,14,7,14,20
DLAT,4,15,8,20,10,20,4,9,18,5,1,0,0,2
DLD,12,18,25,15,14,12,16,18,18,1,0,0,2,0
DLG1,10,7,5,6,3,3,4,3,6,0,0,0,5,2
DLG4,29,22,12,9,0,3,2,23,11,1,0,0,0,1
DLST,5,6,6,7,0,7,0,0,2,0,0,0,2,3
DLX1,32,19,27,6,3,3,11,0,22,0,2,3,2,3
DLX2,23,10,3,6,0,5,1,2,9,0,0,0,1,0
DLX4,0,0,0,1,0,0,0,0,5,0,0,0,0,0
DNM1,0,0,0,5,0,0,3,0,0,0,0,0,0,0
DMWD,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DNA2,4,15,2,3,2,8,0,7,4,3,0,0,2,3
DNASE1L1,6,0,0,2,0,1,0,0,0,0,0,0,3,0
DNASE1L2,0,0,0,0,0,0,5,0,0,0,0,0,0,0
DNASE2,0,2,3,0,0,4,0,0,0,0,0,0,0,0
DYNC1H1,154,122,88,131,68,60,77,76,43,15,4,25,19,39
DYNC1I1,18,10,12,0,5,2,3,0,11,3,1,0,0,0
DYNC1I2,2,4,0,0,2,1,4,0,0,0,0,0,0,0
DYNC1LI2,103,85,73,93,95,69,69,32,82,16,17,40,19,2
DNM2,9,2,1,9,8,13,1,7,20,3,0,8,12,0
DNMT1,85,37,83,77,75,106,45,11,61,18,5,20,40,11
TRDMT1,7,5,13,7,10,9,5,6,9,0,5,22,12,2
DNMT3A,28,12,12,9,4,6,3,8,27,0,0,8,0,5
DNMT3B,8,3,4,11,1,5,12,4,11,4,4,0,0,1
DOCK2,14,0,10,16,16,23,6,18,23,2,0,1,8,0
DOK1,29,29,28,31,14,13,9,6,13,0,0,8,8,0
DXO,13,1,0,9,2,4,4,3,0,0,0,0,0,8
DPAGT1,24,22,18,11,6,8,10,11,13,0,0,5,1,6
DPH1,28,19,17,24,8,34,9,31,22,2,4,2,0,2
DPH2,28,17,8,14,13,4,11,2,4,0,0,0,6,0
DPYD,0,2,0,9,0,0,0,0,0,0,0,0,0,0
DPYSL2,9,5,13,4,4,13,5,4,3,3,3,0,8,0
DPYSL3,6,0,0,11,5,0,0,0,1,6,0,0,9,0
DR1,37,20,20,21,9,29,14,16,11,0,2,3,1,2
DRD4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DRG2,3,6,9,1,4,2,4,13,3,0,0,4,5,10
ARID3A,423,143,185,228,157,212,149,34,280,87,83,73,54,26
DRP2,0,0,0,5,0,0,0,0,1,0,0,0,0,0
ATN1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
RCAN1,7,10,11,0,2,4,15,5,0,0,4,0,11,0
TSC22D3,109,63,50,135,91,127,85,50,111,2,17,16,19,28
SLC26A2,64,46,28,44,42,48,8,26,45,13,7,5,4,3
DTNA,61,31,47,104,61,88,42,24,48,12,15,62,40,30
DTNB,0,0,5,0,0,0,0,0,0,0,0,0,0,0
HBEGF,28,25,17,37,10,26,5,8,8,0,0,0,1,6
DTYMK,14,19,6,7,6,29,9,0,23,5,2,3,20,0
DUSP1,1,1,2,18,5,7,0,0,0,0,0,0,0,0
DUSP2,119,74,111,124,42,125,36,11,86,1,3,1,16,10
DUSP3,103,77,40,44,22,56,47,54,52,1,5,7,25,18
DUSP5,8,5,8,26,21,9,4,0,3,0,0,0,0,1
DUSP6,128,119,97,99,95,136,70,23,78,4,12,27,29,2
DUSP7,51,14,24,30,11,12,12,2,25,0,0,12,0,5
DUSP9,0,1,5,0,0,0,0,0,0,0,0,0,0,0
DUT,80,33,33,43,16,44,22,21,29,0,1,10,11,4
DVL1,6,0,0,4,4,0,11,0,3,0,0,0,0,0
DVL2,14,4,3,5,8,9,3,7,7,0,0,8,0,0
DVL3,12,12,1,4,1,5,9,8,5,0,0,0,1,3
DYRK1A,27,39,30,20,13,22,6,3,33,1,0,3,3,0
TOR1A,38,32,23,13,8,8,10,14,1,0,0,4,12,7
E2F1,21,7,15,12,11,25,18,15,9,1,0,4,2,0
E2F2,51,53,38,24,15,49,9,25,49,4,3,18,12,10
E2F3,716,420,426,749,505,619,299,183,559,221,221,445,356,265
E2F4,7,10,8,14,10,23,0,1,19,0,7,7,0,1
E2F5,1,1,2,4,1,0,0,2,0,0,0,0,0,0
E2F6,36,15,32,27,14,17,40,8,6,4,3,10,2,13
E4F1,13,1,5,11,6,7,4,7,21,0,1,0,1,1
EBF1,0,0,0,0,0,0,0,0,0,0,5,0,5,0
GPR183,62,45,25,3,5,10,9,24,60,13,13,6,0,6
ECE1,42,34,31,62,23,34,11,27,31,5,9,46,23,35
TYMP,0,2,0,1,0,0,0,0,4,0,0,0,0,0
ECH1,25,22,4,27,3,9,2,1,13,0,2,16,7,0
ECHS1,31,26,18,35,12,32,7,12,22,1,1,1,3,0
ECT2,14,10,16,3,8,1,3,5,11,0,0,5,4,0
LPAR1,0,2,0,0,0,0,0,0,0,0,0,0,0,8
S1PR3,3,1,3,0,5,0,0,0,0,0,0,0,0,0
PHC2,17,9,18,32,17,20,3,7,11,2,2,10,0,0
EEF1A1,2659,1263,1589,3199,1929,2858,955,328,1756,152,220,1035,904,479
EEF1A2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1B2,129,109,53,129,50,105,71,51,89,0,13,45,32,24
EEF1D,4,37,11,51,15,47,13,26,21,1,4,30,9,14
EEF1G,105,69,64,84,23,41,72,80,79,0,11,22,49,37
EEF2,545,384,319,652,368,600,302,270,336,45,91,310,272,162
EIF2D,14,3,8,2,0,16,2,3,9,1,1,2,3,7
EFNA1,0,0,0,7,0,1,0,0,0,0,0,0,0,0
EFNA3,2,0,5,1,0,2,0,0,5,0,0,0,0,1
EFNA4,0,0,1,0,0,2,0,0,0,0,0,0,0,0
EFNA5,52,33,32,68,61,71,63,39,61,13,21,75,40,16
EFNB1,5,8,6,6,9,9,0,0,0,0,0,0,0,0
EFNB2,0,4,2,0,1,5,0,0,1,0,0,0,0,0
CELSR3,0,1,0,0,0,3,0,0,0,0,0,0,0,0
MEGF8,2,1,1,0,0,1,0,0,0,0,0,0,0,0
MEGF9,6,6,6,4,3,7,3,0,4,0,7,0,3,5
EGR1,122,277,320,1726,744,1738,15,13,55,1,7,192,141,85
EGR2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EGR3,5,7,10,5,2,4,0,0,0,0,0,0,0,1
EHHADH,0,1,2,0,2,3,0,0,0,0,0,7,0,0
EIF1AX,280,184,129,218,135,158,70,77,155,7,15,44,69,33
EIF2S1,53,29,37,44,18,43,27,25,44,0,13,48,14,33
EIF2B1,17,13,13,17,5,37,11,1,7,0,0,13,2,0
EIF2S3,55,30,41,39,13,38,3,2,73,5,2,13,10,9
EIF4A1,2646,2045,1653,3311,1982,2736,1321,936,2041,73,91,899,782,630
EIF4A2,295,140,148,426,236,350,100,63,145,12,9,122,80,64
EIF4B,71,61,46,52,20,42,33,32,43,19,40,31,36,16
EIF4E,64,27,10,38,15,37,31,4,13,2,0,7,14,15
EIF4EBP1,8,8,11,1,2,7,14,14,7,4,5,4,4,3
EIF4EBP2,39,27,16,70,67,78,12,5,28,4,0,22,24,19
EIF4G1,161,90,106,90,117,112,102,55,102,29,36,59,34,14
EIF4G2,405,244,246,474,296,517,134,166,214,9,11,113,103,110
EIF5,94,102,82,61,53,101,28,23,67,0,4,3,10,11
EIF5A,25,14,9,8,33,13,7,2,20,0,0,0,7,1
CELA1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ELANE,48,40,17,93,18,89,39,39,31,4,7,16,14,22
SERPINB1,95,41,45,92,38,69,23,17,35,1,1,13,12,14
ELAVL1,92,50,57,91,51,78,40,64,120,28,43,56,38,58
ELF1,130,155,101,66,13,55,28,26,15,11,23,38,16,6
ELF2,26,39,30,37,18,6,27,9,10,2,0,24,7,6
ELF4,40,32,20,27,17,9,28,43,54,1,5,7,2,9
ELK1,14,13,10,13,13,19,5,5,23,4,0,9,0,0
ELK3,8,5,2,19,3,0,0,1,5,0,3,5,7,0
ELK4,22,6,21,13,12,24,6,19,24,4,2,3,6,3
EMD,20,16,23,13,5,11,21,5,20,0,5,7,3,6
MARK2,64,69,54,116,50,140,56,37,89,52,25,62,56,36
EMP1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
EMP2,5,7,9,4,2,8,4,0,1,0,0,0,5,0
EMP3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CTTN,3,4,0,0,0,0,0,0,0,0,0,0,1,0
ENDOG,27,13,15,22,6,19,5,11,7,0,0,0,3,0
ENG,0,1,3,0,0,2,0,0,2,0,0,0,0,0
ENO1,233,165,214,224,144,180,177,100,235,12,25,74,94,65
ENSA,33,26,18,35,24,13,0,5,15,0,0,4,9,2
SLC29A1,1,3,1,3,6,6,8,1,14,3,5,3,0,0
EP300,21,27,14,21,7,15,3,14,5,5,3,12,7,7
EPB41,22,13,8,22,22,24,24,12,6,8,14,46,21,19
EPB41L1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EPB41L2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
STOM,25,15,10,25,6,15,7,7,2,0,0,15,7,0
EPHA1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
EPHB2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
