KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
PHBP19,0,3,0,0,0,3,2,0
PHBP3,0,0,0,1,0,0,0,0
PHBP5,0,1,0,3,0,1,0,1
PHBP8,0,0,0,1,0,0,0,0
PHBP9,2,2,4,2,2,0,2,6
PHC1,47.23,75.17,61.2,52.72,32.64,35.08,26.6,90.19
PHC1P1,0,1.42,5.98,1.34,0,1.57,3.13,1.25
PHC2,733,1453,1329,845,711,585,583.79,1082
PHC3,1309.6,1446.3,1682.2,1231.7,1028,1087.3,1032.2,1894.1
PHETA1,118,233,194,130,86,77,78,163
PHETA2,2,1,1,1,3,0,1,4
PHEX,0,1,1,0,1,0,0,2
PHF1,302,624,586,421,306,270,256,507
PHF10,3518,5257.9,5814,4337.6,3813.4,3900.9,3667.6,7522.8
PHF10P1,3,3,1,1,1,1,4,2
PHF11,218,302,348,254,195,244,201,426
PHF12,1281,1891.1,1791.6,1387,1072,952,892,1997
PHF13,354,699,749,456,408,397,341,758
PHF14,1627,2415,2772,2044,1398,1424,1365,2898
PHF19,1070,2180,2030,1331,1111,864,908,1879
PHF2,783,1249,1081,859,623,538,531,1181
PHF20,900,1462,1555,1043,780,790,714,1531
PHF20L1,1469.7,1903.3,2003.2,1698.4,1336.7,1395,1443,2587.4
PHF21A,829,1348,1511,1164,652,740,726,1301
PHF23,895,1547,1417,1094,860,739,734,1537
PHF24,0,1,2,1,0,0,0,0
PHF3,1994,2517,2828,2119,1593,1608,1586,2999
PHF5A,628,1187,1155,805,745,737,670,1484
PHF6,1032,1210,1356,1062,763,838,791,1582
PHF7,248,404,355,276,213,182,164,415
PHF8,753,1225,1019,795,605,555,450,1070
PHGDH,951,1873,1950,1246,753,636,656,1315
PHGR1,0,0,0,0,1,0,0,1
PHIP,2773.7,3368,3816,3092.9,2478,2804,2424,4871.9
PHKA1,1,0,2,0,1,0,0,1
PHKA1P1,0,1,0,1,0,0,2,2
PHKA2,753,1289,1232.9,852,563,494,510,1076
PHKA2-AS1,0,2.02,1.11,0,2,1,0,2
PHKB,844,1315,1417,973,872,866,784,1595
PHKG1,12.45,21.73,25.03,4.16,9.16,7.29,3.04,20.02
PHKG2,285,576.89,493.74,382.32,390.08,376.77,274.53,694.38
PHLDA1,237,355,497,319,76.67,119,108,163
PHLDA2,81,173,155,106,64,64,62,126
PHLDA3,169,392,304,176,154,142,144,293.17
PHLDB1,139,201,182,129,111,90,118,209
PHLDB2,0,0,1,0,0,1,0,1
PHLDB3,125,220,223,155,98,83,72,168
PHLPP1,2231,3432,3303,2343,1897,1887,1817,3584
PHLPP2,68,104,78,53,60,59,60,116
PHOSPHO1,2,1,3,1,4,1,1,5
PHOSPHO2,21,33,41,30,17.88,24.81,19,42.54
PHOX2A,0,0,0,0,0,0,1,0
PHPT1,519,1106,970,582,672,511,502,1194
PHRF1,1354,2154,1886,1451,1003,829,860,1844
PHTF1,313,455,476,357,314,254,242,564
PHTF2,649,738,881,744,553,592,518,983
PHYH,331,608,551,433,338,265,286,584
PHYHD1,0,1,0,0,0,0,0,0
PHYHIP,19,33,41,34,32,25,18,31
PHYKPL,347.26,711.17,616.11,448.38,355.06,320.1,359.12,702.23
PI15,0,0,0,0,0,1,2,2
PI16,0,0,1,0,0,0,0,1
PI3,0,1,0,0,0,0,0,0
PI4K2A,267,499.4,421,329,260,198,203,413
PI4K2B,796,1022.8,1178.7,850.46,642.54,743,659,1359
PI4KA,2108.1,3629.3,3187.7,2149.9,1800.3,1412,1507.8,3226.4
PI4KAP1,194.59,365.9,313.93,260.44,215.16,222.09,197.83,422.06
PI4KAP2,170.76,252.81,293.34,165.67,160.37,130.89,158.34,277.26
PI4KB,855.11,1380.6,1244.7,951.97,774.52,649.65,652.65,1408.2
PIANP,7,10,4,8,7,5,2,4
PIAS1,1597.6,2018.8,2251.7,1803.6,1375,1520.3,1404,2770.2
PIAS2,279,459,421,363,317,312,293,641
PIAS3,294.81,471.05,437.53,296.05,268.35,229.5,230.1,457.74
PIAS4,805,1274,1157,809,575,481,488,1051
PIBF1,397,501,656,527,329,328,351,634
PICALM,1656,2392,2844,2130,1655,1825,1623,3150
PICART1,0,0,0,0,1,0,0,0
PICK1,93,151.55,150,90,96,78.91,60,142.78
PID1,0,0,0,0,0,1,1,4
PIDD1,218,523,356,212,297,226,202,449
PIEZO1,3576.9,5945.6,4886.8,3409,3046,2377.1,2332.2,5069.7
PIEZO2,166,224,228,156,88,88,62,149
PIF1,73,166,150,110,93,95,88,215
PIFO,0,1,0,1,2,2,3,1
PIGA,287,412,457,382,310,304,274,579
PIGAP1,1,2,3,1,2,2,3,0
PIGB,400.03,626.51,641.71,451.47,458.89,436.64,411.18,921.11
PIGBOS1,190.73,364.08,372.67,215.84,252.92,224.48,192.13,513.58
PIGC,324,552,581,387,331,280,275,610
PIGCP1,33.6,50.56,46.87,44.78,38.97,29.57,31.65,75.08
PIGF,190.91,326.7,339.07,221.26,198.32,171.48,183.4,343.57
PIGFP1,2,0,0,1,0,0,1,0
PIGG,475,898,844,599,556,488,445,973
PIGH,98,173.96,157.96,133.97,115.84,101.72,91.93,203.98
PIGHP1,1,1,0,2,5,2,1,0
PIGK,662,852,896,728,631,687,628,1115
PIGL,120.75,204,177.73,130.53,113,70.96,81.15,189.99
PIGM,550,748,786,646,529,486,455,994
PIGN,736,1145,1111,834,717,714,684,1403
PIGO,311,643,503,345,353,229,265,532
PIGP,188,301,357,226,182,171,173,368
PIGQ,182,443.53,355,237.45,239.8,203,196.1,355
PIGR,9,25,13,2,7,6,9,14
PIGS,968,1675,1527,1050,883,744,797,1724
PIGT,699,1144,991.7,782,687,590,532,1198.6
PIGU,356,639,618,427,344,292,324,600
PIGUP1,0,0,1,0,0,0,0,1
PIGV,215,412,401,286,226,160,195,392
PIGW,259.48,436.27,413.49,302.5,333.09,270.2,251.69,572.44
PIGX,628.35,1068.7,1035.3,805.5,635.33,657.08,605.15,1325.3
PIGY,0,0,0,0,4.99,0,0,0
PIGY-DT,0,0,0,0,0,1,0,0
PIGZ,20,46,42,19,28,16,15,34
PIH1D1,1375.1,2559,2732.1,1832,1353,1325,1218,2845
PIH1D2,7.02,14,6,5,12,4,4,13
PIK3AP1,5481,8507,8657,6335,5273,4983,4788,9777
PIK3C2A,958,1051,1155,918,689,728,666,1183
PIK3C2B,281,470,439,336,233,199,187,408
PIK3C3,929,1205,1514,1038,871,814,857,1559
PIK3CA,377.16,417.99,490.96,366.82,280.74,297.98,261.82,562.49
PIK3CB,1515,2089,2322,1720,1675,1659,1616,3321
PIK3CD,2761,5243,4490,3103,2837,2138,2250,4876
PIK3CD-AS1,46,100,102,68,82,58,79,140
PIK3CD-AS2,0,1,0,0,0,0,1,1
PIK3CG,844,1063,1040,731,641,653,635,1129
PIK3IP1,67,110,120,75,57,37,32,84
PIK3IP1-DT,0,2,0,0,0,1,1,1
PIK3R1,1901,2419,2489,1986,1378,1509,1326,2677
PIK3R2,250.08,386.5,342.13,495.28,315.88,207.19,66.31,364.09
PIK3R3,247,347,313,211,206,198,184,417
PIK3R4,634,991,992,613,560,468,554,1017
PIK3R5,1098,1968,1677,1105,1230,1028,989,1895
PIK3R5-DT,5,6,7,5,4,0,1,2
PIK3R6,79,128,138,104,66,55,75,114
PIKFYVE,3372,4131,4217,3298,2272,2554,2564,4793
PILRA,42,72,76,47,30,22,27,50
PILRB,294.45,606.75,545.9,320.74,317.04,286.45,264.08,617.43
PIM1,3770,6857,6757,4946,2673,2633,2326,5037
PIM2,983,1938,1652,1219,678,554,578,1220
PIM3,444,904,694,497,439,389,379,725
PIMREG,216,383,346,225,151,150,145,276
PIMREGP1,0,1,1,0,0,1,0,0
PIMREGP3,2,2,0,0,0,1,1,1
PIN1,836,1628,1558,949,925,762,722,1788
PIN1-DT,2,0,8,1,3,0,0,2
PIN4,344,492,536,374,322,316,255,719
PIN4P1,1,3,2,1,2,0,0,3
PINK1,606.5,1067.3,1006,700.69,660.1,509.01,479.72,1141.2
PINK1-AS,273.87,423.54,386.88,301.67,228.84,263.01,217.08,510.42
PINLYP,0,0,6,2,3,1,1,6
PINX1,427.55,682.58,641,465.76,396,327,279,740.77
PIP,1,0,0,0,0,0,0,0
PIP4K2A,1554,2262,2380,1680,1256,1252,1211,2482
PIP4K2B,2084,3640,3374,2236,1998,1831,1758,3780
PIP4K2C,288,487,410,289,251,251,202,476
PIP4P1,568,1041,951,649,608,561,517,1114
PIP4P2,91,160,169,109,151,170,168,301
PIP5K1A,788,1265.9,1214,904.96,652,582,553.98,1235
PIP5K1B,20,35,30,26,21,17,25,44
PIP5K1C,1133,2043,1688,1300,965,794,842,1662
PIP5K1P1,0,0,0,1,1,0,0,1
PIP5KL1,7,30,19,10,17,10,15,22
PIPOX,53,105,107,79,71,58,58,122
PIPSL,6,9.11,7.01,12.04,1,7,8.03,20
PIR,8,19,28,16,21,20,24,22
PISD,496,866,810,514,464,328,393,759
PITHD1,470,871,758,652,474,456,438,970
PITPNA,1116.3,1789.5,1589.3,1177.5,1077.7,940.28,847.12,2078.1
PITPNA-AS1,70.73,83.48,119.73,54.46,72.31,56.72,68.88,131.93
PITPNB,1872,2534,2843,2105,1797,1818,1618,3449
PITPNC1,629,971,1056,719,295,314,297,609
PITPNM1,675,1072,879,659,483,344,388,852
PITPNM2,95,184,175,115,66,67,104,127
PITPNM2-AS1,0,0,0,0,0,0,0,2
PITPNM3,10,10,15,17,10,13,9,14
PITRM1,604.29,1150.7,1020.4,669.9,647.09,537.41,499.96,1142
PITRM1-AS1,13.71,30.82,24.6,23.1,14.91,19.59,13.04,30.98
PITX1,3470,7229.2,5848.3,3999,3445.1,2791,2898,5895
PITX1-AS1,230.36,313.89,222.98,155.66,141,132.02,66.99,218.33
PITX2,20,36,23,18,16,21,22,32
PIWIL2,15,27,28,39,3,17,13,12
PIWIL3,0,1,0,0,0,1,0,0
PIWIL4,1188.6,2043.1,2219.7,1492.9,1227.7,1158.1,1193.5,2295.8
PJA1,65,110,94,67,53,51,39,101
PJA2,3277,4108,4910,3690,2330,2600,2485,4622
PJVK,9,20,11,10,9,14,16,22
PKD1,900.18,1791.3,1418.3,956.02,821.22,572.41,627.07,1266.3
PKD1L1,1,1,1,0,0,0,0,1
PKD1L3,6,23,25,18,20,18,15,31
PKD1P1,261.81,318.56,314.66,167.2,151.74,171.44,164.7,393.24
PKD1P2,16.07,22.84,23.19,10.62,21.39,3.29,7.37,22.4
PKD1P3,223.03,492.21,367.14,200.12,173.11,125.84,124.3,371.52
PKD1P4,202.3,427.36,312.39,227.04,210.93,133.49,109.5,247.25
PKD1P5,51.99,98.54,77.08,58.49,49.45,35.27,43.34,95.94
PKD1P6,134.83,247.65,203.53,127.77,85.8,96.67,89.99,200.46
PKD2,567,733,950,741,581,612,561,1095
PKD2L1,1,0,0,2,0,0,2,0
PKD2L2,1,0,2,1,0,0,0,1
PKDCC,14,29,28,18,4,5,6,7
PKDREJ,62,60,74,55,35,32,36,74
PKIB,890,1303.9,1676.8,1231.9,968.97,1139,1065.8,2170.3
PKIG,24,45,33,34,11,16,15,18
PKLR,1.07,0,0,0,0,0,0,2.3
PKM,15056,24627,24548,18374,13326,11353,11255,24752
PKMP1,0,4,3,1,1,3,0,4
PKMP3,0,1,1,0,1,2,1,0
PKMYT1,524.13,961.67,819.54,573.64,518.54,399.66,394.76,777.56
PKN1,1991,3832,3475,2304,1749,1424,1430,2829
PKN2,635,733,925,737,521,606,541,1108
PKN2-AS1,1,1,2,0,0,2,2,0
PKN3,103,250,189,144,116,91,99,208
PKNOX1,570,834,969,633,481,496,397,916
PKP3,5,12,11,7,2,2,4,8
PKP4,1116.9,1565,1545,1193,956,906.85,910.26,1952.9
PKP4-AS1,2.1,3,1,2,0,6.15,5.74,4.11
PKP4P1,0,0,1,0,0,0,0,0
PLA1A,0,0,0,0,0,0,1,0
PLA2G12A,126,175.73,186,141,97,147,105,209
PLA2G12AP1,4,7.27,7,11,9,9,9,9
PLA2G15,296,574,482,310,323,244,243,470
PLA2G2C,12,19,19,15,5,4,10,19
PLA2G2D,1,10,3,3,2,2,1,8
PLA2G2F,1,4,9,5,2,1,3,7
PLA2G4A,334,484,533,328,228,190,214,428
PLA2G4B,47.76,86.2,106.57,49.15,62.18,43.6,67.15,88.75
PLA2G4C,23,15,24,12,7,9,9,15
PLA2G6,136,264.96,243.99,179.99,135,97.99,104,236
PLA2R1,28,29,31,25,19,22,12,43
PLAA,1103,1601.9,1651.9,1296,1027,1090,985,2058.9
PLAAT3,0,0,0,1,0,0,0,0
PLAAT4,16,49,51,30,11,12,5,12
PLAAT5,0,1,0,0,1,1,0,0
PLAC4,2,1,1,0,1,0,0,0
PLAC8,3274,5511,5766,3580,5914,5199,5072,11344
PLAC8L1,0,3,1,0,0,1,0,4
PLAC9,0,6,4,2,2,1,0,2
PLAG1,98,138,142,121,59,83,61,137
PLAGL1,191,251,294,227,153,169,161,326
PLAGL2,2081,3247,2905,2266,1847,1704,1598,3105
PLAT,4,8,5,3,2,3,3,7
PLAU,1089.9,2026,2059.7,1361.5,936.54,792.18,859.37,1716.7
PLAUR,1118,2280,2424,1576,972,919,997,1833
PLB1,232,414,392,269,297,264,246,532
PLBD2,1578,1887,1930,1940,953,1035,967,2223
PLCB2,1752,2769,2822.1,2002.4,1480,1317,1192,2740
PLCB2-AS1,0,0,1.95,0.63,1,0,0,1
PLCB3,594,1004,912,675,628,513,514,1195
PLCB4,12,14,19,8,17,12,16,41
PLCD1,27,66,58,46,31,27,20,45
PLCD3,51,86,70,68,54,37,37,84
PLCD4,40.98,62.63,61.47,63.35,44.41,42.42,34.4,96.16
PLCE1,79,117,147,86,86,81,63,164
PLCG1,239,415,348,262,235,184,174,399
PLCG1-AS1,1,0,0,0,0,0,0,1
PLCG2,1288.4,2135.7,2127,1474,1250,1144.3,1218.5,2389.3
PLCH1,0,0,0,0,0,1,0,0
PLCH2,1,1,3,0,0,0,2,0
PLCL1,1,1,3,1,1,0,3,5
PLCL2,11,8,13,3,6,3,6,3
PLCXD2,9,11,10,7,8,5,8,14
PLD1,284,461,457,321,204,174,182,324
PLD2,51,86,66,53,43,35,35,92
PLD3,385,725,648,454,417,390,337,725
PLD4,1199.5,2254.6,1924.7,1183.8,1449.5,1171.4,1212.6,2471
PLD5P1,9.26,10.7,7.81,11.41,4.31,0,0,13.46
PLD6,788.71,1397.6,1273.9,868.6,813.66,731,655,1477.1
PLEC,4585,7815,6199,4300,3742,2947,3058,6121
PLEK,4881,8499,9033,5918,4294,3975,3937,7768
PLEKHA1,28,27,42.1,23,30,16,30,56.2
PLEKHA2,1719.9,2968,3169.3,2160.5,1299,1237.6,1227.8,2440.3
PLEKHA3,193,323,365,291,260,248,200,502
PLEKHA3P1,8,6,8,6,6,1,4,12
PLEKHA4,11,19,26,22,5,5,8,13
PLEKHA5,0,0,0,0,1,0,0,1
PLEKHA6,2,3,4,3,4,0,3,13
PLEKHA7,8,25,20,17,20,26,18,34
PLEKHA8,117,161.35,154.39,114.25,81,79.21,86.57,168.4
PLEKHA8P1,64,100.65,88.61,91.75,57,72.79,72.43,105.6
PLEKHB1,0,2,0,0,0,0,0,0
PLEKHB2,2950,4942,4769,3131,2775,2527,2382,5169
PLEKHD1,3,2,4,1,1,4,0,1
PLEKHF1,162,303,275,170,84,78,81,169
PLEKHF2,513,701,789,575,438,490,434,821
PLEKHG1,3,3,1,3,12,9,3,25
PLEKHG2,999,1566,1552,1089,702,631,698,1310
PLEKHG3,286,476.99,476.98,295,301.97,255,225,504.99
PLEKHG4,302,587,498,281,296,230,207,465
PLEKHG4B,0,1,0,0,0,1,0,0
PLEKHG5,3,9,9,8,0,3,2,14
PLEKHG6,1,4,1,1,1,0,1,0
PLEKHG7,0,0,0,0,0,1,0,2.01
PLEKHH1,54,93.04,82.04,55.03,67.17,53.28,57.07,95.02
PLEKHH2,44,85,108,67,55,45,47,64
PLEKHH3,50,118,94,49,67,49,41,79
PLEKHJ1,486.89,1016.5,876.67,525.68,649.95,435.68,468.43,1024.7
PLEKHM1,332.95,544.09,462.54,326.07,272.18,222.79,212.47,513.18
PLEKHM1P1,130.12,249.26,229.7,152.2,137.73,117.53,110.36,239.45
PLEKHM2,899.98,1600,1351,961.98,765,671,581,1261
PLEKHM3,261,383,431,267,181,190,156,336
PLEKHN1,21,51,55,45,36,10,16,40
PLEKHO1,226,429,435,301,176,171,163,364
PLEKHO2,591.88,1174.2,967.91,629,490,484,448,953.75
PLEKHS1,0,0,0,0,0,0,0,1
PLET1,1,0,1,0,0,0,0,0
PLG,0,0,0,0,0,0,1,0
PLGLB1,5.66,23.7,11,19.66,14.7,16.82,13.61,41.77
PLGLB2,6.49,4.04,10.6,9.64,1.41,5,9.54,13.26
PLGRKT,79,119,123,95,97,95,65,177
PLIN1,3,0,1,1,0,0,1,0
PLIN2,296,780,1435,744,203,221,309,404
PLIN3,2084,4101,3747.9,2422.2,1928.1,1722,1630,3435.3
PLIN4,22,50,38,28,23,21,17,32
PLIN5,1,1,1,2,0,0,0,1
PLK1,1992.2,3190,2974,2167.4,1661.4,1399,1370,3144
PLK2,159,260,213,162,170,145,142,269
PLK3,109,188,177,101,89,88,66,164
PLK4,874,1192,1352,1033,856,933,822,1703
PLK5,0,1,1,0,0,2,1,1
PLLP,18.57,14.95,28.89,20.17,16.26,13.46,12.52,28.19
PLN,0,0,1,0,0,0,0,0
PLOD1,1466,2554,2401,1802,1272,1081,1168,2225
PLOD2,0,1,0,0,0,0,0,0
PLOD3,442,809.01,713,534,473,440.01,382,821.01
PLP1,0,1,0,1,1,0,0,0
PLP2,2225,3934,4044,2859,1710,1653,1754,3327
PLPBP,1315,2214,2509,1773,1334,1338,1353,2743
PLPP1,23.72,42,46.05,31.79,12.82,12.93,9.8,33.22
PLPP2,0,0,0,1,0,0,0,0
PLPP3,2,0,2,1,0,0,1,5
PLPP5,352,646,654,432,276,265,288,556
PLPP6,178,299,314,251,257,224,182,457
PLPP7,8,38,34,17,15,13,10,31
PLPPR2,1349,2721,2154,1476,1590,1212,1299,2529
PLPPR3,2025,4095,3392,2226,2352,1691,1801,3741
PLRG1,798,1254,1495,997,884,866,853,1769
PLS1,2,4,15,8,2,9,9,8
PLS3,7,13,36,6,11,14,10,25
PLSCR1,206,327,361,207,241,225,255,422
PLSCR3,131.61,253.83,226.79,148,114.04,96,98.82,215.85
PLTP,40,82.42,63.08,52,28.05,19.04,35.02,47
PLVAP,4,1,4,0,3,2,2,1
PLXDC1,3,1,2,5,2,2,1,3
PLXDC2,449,579,666,446,251,289,273,487
PLXNA1,597,1004,843,600,482,385,479,854
PLXNA2,22,16,13,8,9,12,10,21
PLXNA3,138,276,288,180,117,88,89,198
PLXNA4,4,3,3,6,2,5,1,8
PLXNB1,87,182,162,95,87,71,55,134
PLXNB2,3217,5531,4912,3303,2716,2207,2385,4709
PLXNB3,16.03,31.3,37.67,18.54,14.64,11.21,14.84,24.64
PLXNC1,502.33,689.77,798.91,598,360.22,362,332.83,668.47
PLXND1,2049,3659,3374,2339,2086,1820,1782,3792
PM20D2,1525,1931,2106,1742,1471,1491,1375,2709
PMAIP1,267,381,395,354,231,242,248,410
PMCH,0.39,0,0,1.42,0,1.18,0,0
PMEL,2,8,7,4,4,6,1,9
PMEPA1,52,102,117,68,55,57,65.47,120
PMF1,436.58,723.68,745.24,512.21,419.94,370.13,340.94,816.9
PMF1-BGLAP,28.69,49.86,65.11,24.54,28.34,27.75,24.4,50.32
PMFBP1,29.46,61.16,66.93,65.01,36.33,36,31.35,81.17
PML,757,1148,1026,775,524,460,463,914
PMM1,92,192,182,98,83,75,82,178
PMM2,746.28,1200.3,1204.7,782.87,715.79,631.96,629.27,1380.9
PMP22,98,143,136,106,102,101,95,173
PMPCA,1057,1967,1784,1144,1114,951,908,2152
PMPCAP1,0,0,0,0,1,0,0,0
PMPCB,960.2,1608.1,1862.5,1261.4,1060.5,1069.6,1004.2,2151.8
PMS1,515,676,783,590,507,560,537,1096
PMS2,439.21,646.36,664.58,371.36,351.65,337.14,339.96,704.46
PMS2CL,230.79,349.64,389.42,307.64,154.35,147.86,163.04,325.54
PMS2P1,161.75,260.68,284.97,199.92,117.38,137.39,134.9,340.94
PMS2P10,6.92,6.27,5.55,3.46,2.14,6.67,5.39,7.31
PMS2P2,0,0,1.32,0,0,1.25,0,2.67
PMS2P3,95.25,143.48,142.62,87.05,77.54,69.3,56.97,144.21
PMS2P4,11.13,14.28,22.11,8,7.04,14,8.03,14
PMS2P5,18.44,23.46,27.21,19.07,18.53,19,10.58,14.13
PMS2P6,56.04,85.32,92.15,89.68,31.13,45.94,41.19,56.47
PMS2P7,19.81,43.02,43.87,14.05,14.25,8.57,15.43,25.09
PMS2P8,0,20.12,0,0,6.15,0,18.28,14.01
PMS2P9,1.05,1.97,0,0,0,1.07,0,1.25
PMVK,383,743,668,431,430,361,320,802
PNCK,5,22,27,19,4,11,6,8
PNISR,2672,3485,4373,3488,2734,2974,2815,5906
PNKD,616,1119,937,682,498,432,423,918
PNKP,709.08,1173,1095.7,758.12,675.85,558.44,569.72,1199.6
PNLDC1,3,0,0,1,2,3,1,4
PNMA1,360,606,557,412,318,292,294,605
PNMA2,0,0,3.06,0,0,1,1,0
PNMA3,2,7,6,7,1,4,2,4
PNMA5,1,2,9,5,4,1,5,3
PNMA6A,5,11,13,12,11,3,7,9
PNMA6E,0,0,1,0,0,0,0,1
PNMA8B,0,0,0,0,0,0,0,1
PNMA8C,0,0,1,0,0,0,0,0
PNN,3897,5157,5915,4648,3703,3968.6,3447,8534
PNO1,638.8,922.77,878.94,639,583.85,510,486.92,1013
PNOC,3,9,9,3,6,4,6,16
PNP,2336,4403,4202.7,2899,2986,2430,2496,5600.6
PNPLA1,4,16,11,10,1,5,1,4
PNPLA2,814,1436,1200,802,815,653,637,1347
PNPLA3,192,314,327,212,175,173,147,303
PNPLA4,43,94,79,44,58,48,40,114
PNPLA5,0,0,1,0,0,0,0,0
PNPLA6,1337,2440,2187,1402,1117,893.63,919,1884
PNPLA7,50,88,88,83,53,39,39,81
PNPLA8,517,756,894,606,517,552,524,990
PNPO,723,1119,1018,774,624,586.43,551.32,1156
PNPT1,1314,1623,1913,1467,1292,1311,1175,2564
PNPT1P1,0,1,1,4,2,1,1,2
PNRC1,725,1010,1229,1017,636,752,765,1487
PNRC1-DT,0,1,0,2,0,0,0,0
PNRC2,3388,4603,5283,4065,3225,3547,3032,6527
PNRC2P1,0,0,1.04,0,0,0,0,0
POC1A,412,859,776,509,436,394,340,885
POC1B,402.86,554.47,721.29,525.92,369.82,417.46,412.84,735.66
POC1B-AS1,8,17,22,8,11.05,16,11,27
POC1B-GALNT4,80.73,80.96,100.14,110.71,59.53,43.44,58.92,156.96
POC5,184,239,279,175,172,163,169,315
PODNL1,2,3,4.28,6,4,2,5,7
PODXL,193,226,207,180,125,122,97,223
PODXL2,487,896,772,587,508,426,408,883
POFUT1,1589,2492,2315,1773,1540,1446,1333,2948
POFUT2,239,410.94,394,243,228,167,176,451.97
POGK,1526,2052,2035,1608,1188,1133,1036,2304
POGLUT1,382,638,605,452,454,437,370,867
POGLUT2,12,14,24,18,17,16,21,27
POGLUT3,968,1413,1438,1033,938,949,883,1830
POGZ,1382,2171,2129,1702,1295,1337,1276,2565
POLA1,1485,1967,1979,1426,1130,1033,1066,2238
POLA2,798.56,1452.3,1271.9,799.44,796.42,660.74,681.29,1462.1
POLB,98,222,267,154,146,123,136,283
POLD1,2304,4579,3714,2461,2173,1591.9,1672,3542
POLD2,1969,3493,3241,2347,1822,1578,1631,3286
POLD2P1,1,1,0,1,0,0,0,0
POLD3,954,1401,1471,1182,992,1027,876,1979
POLD4,421,984,877,509,436,401,416,738
POLDIP2,1321,2463,2171,1472,1316,1035,1073,2212
POLDIP3,1797,3227,2903,1979,1660,1411,1362,3080
POLE,1896,3271,2932,1938,1949,1488,1442,3337
POLE2,249,356,481,278,259,244,281,581
POLE3,2342,3819,3746,2751,2518,2255,2207,4763
POLE4,185,497,404,249,268,205,245,493
POLG,1046.7,1777.7,1547.1,1033.4,954.2,789.94,754.91,1842.2
POLG-DT,0,6,8,2,2,3,2,3
POLG2,311,598,567,372,340,306,264,655
POLH,597,906,863,608,487,464,421,887
POLH-AS1,2,2,6,1,2,0,0,5
POLHP1,0,0,0,0,0,0,2,3
POLI,373.57,567.75,677.68,479.88,398,441.78,394.96,877
POLK,690.35,851.29,940.78,675.9,568.18,581.85,574.81,981.39
POLL,188,417.98,373,217.98,169.88,146,146,305
POLM,286,540,449,328,261,242,215,444
POLN,11,42,29,20,21.01,17.38,13.1,47
POLQ,988,1336,1423,1109,981,841,841,1862
POLR1A,2815,4242,3797,2591,2092,1853,1804,4148
POLR1B,1529,2271,2314,1542,1418,1244,1208,2513
POLR1C,531.77,968.98,892.18,711.33,595,520.19,495.73,1125.8
POLR1D,2190,3343,3697,2563,1835,1956,1819,3781
POLR1E,658,1104,1125,728,655,607,548,1252
POLR1F,766,987,1170,885,729,806,793,1447
POLR1G,1162.9,1642.9,1405.8,1132.8,865.32,835.27,705.72,1836.5
POLR1H,147.34,392.84,356,184.93,192.95,161.91,178.47,356.78
POLR2A,6681,9076,8274,6706,4194,4014,3810,8087
POLR2B,3312.4,5253.1,5217.9,3670,3194.6,3072.9,2930.3,6145.9
POLR2C,766,1457,1449,885,849,712,733,1533
POLR2D,1124.8,1935,2073.2,1307.3,1187.2,1080,941.86,2370.9
POLR2E,1972,4062,3293,2105,2054,1596,1633,3653
POLR2F,368,574,622,443,306,253,276,716
POLR2G,573,1457,1363,731,843,644,629,1457
POLR2H,548,1080,1048,734,676,569,555,1313
POLR2I,270.44,488.76,509.04,302.25,363.8,302.85,292.12,633.81
POLR2J,531.64,1010.5,935.12,610.65,512.42,443.03,453.98,1026.2
POLR2J2,42.66,86.17,84.49,43.78,45.04,36.85,38.42,60.64
POLR2J3,327.82,506.26,486.19,338.85,239.22,204.74,237.24,486.24
POLR2J4,109.91,203.07,169.47,119.15,109.65,107.37,96.42,274.14
POLR2K,831,1216,1407,1036,857,880,876,1910
POLR2KP1,0,0,0,0,0,0,1,0
POLR2L,267,610,481.31,263,323,197,271.7,433
POLR2M,864.92,1315,1361.3,983,813.94,841,801,1598
POLR2MP1,0,1.03,0,0,2.06,0,0,2.03
POLR3A,892,1492,1363,930,841,751,683,1579
POLR3B,368,540,550,407,380,312,281,650
POLR3C,634,1085,1022,738,608,495,570,1182
POLR3D,1334,2113,1856,1345,915,877,811,1710
POLR3DP1,1,0,0,1,0,0,3,4
POLR3E,711,1230,1089,774,654,572,528,1234
POLR3F,214,299,360,245,196,234,200,464
POLR3G,157,212,214,219,158,192,144,356
POLR3GL,405,658,700,507,340,346,314,681
POLR3GP2,0,0,0,0,0,0,0,1
POLR3H,867.05,1670.2,1372.1,1013,940.21,726.22,691.43,1633.1
POLR3K,272.98,502.97,503.96,332.97,303.95,256.97,256.95,583.98
POLRMT,657.21,1144,1000,631.76,598.91,466.28,449.91,1038
POLRMTP1,15.79,29.96,16.96,18.26,17.09,13.72,9.09,29.98
POM121,3592.8,5494.1,4402.8,3393.6,2317.6,1944.5,2086.5,4110.7
POM121B,13.47,16.36,14.9,17.81,5.91,9.83,5.01,10.96
POM121C,2503.1,3867.3,3490.7,2641.6,1761.5,1571,1548.9,3092.6
POM121L14P,0,0,2,0,1,0,0,0
POM121L6P,1,4,4.05,0,0,1,0.99,1.02
