,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
MTHFD1P1,0.15,0.05,0.03,0.06,0.0,0.0,0.06,0.02
TMEM139-AS1,0.0,0.0,0.12,0.0,0.37,0.39,0.0,0.0
FAM192BP,0.24,0.34,0.86,0.33,0.0,0.0,0.63,0.51
MRPS9-AS1,0.75,0.0,0.0,0.3,0.4,0.41,0.44,0.0
CYP21A2,0.0,0.14,0.0,0.03,0.0,0.0,0.0,0.0
AL162377.1,0.24,0.32,0.15,0.17,0.17,0.49,0.14,0.06
AC067945.2,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
AC079781.1,0.49,0.0,0.58,0.39,0.0,0.0,0.58,0.24
OR5K2,0.0,0.1,0.05,0.07,0.0,0.0,0.0,0.0
AL807752.3,0.0,1.36,0.53,1.0,0.0,0.37,0.0,0.0
KRT17P3,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
IPO9-AS1,0.13,0.85,0.5,0.41,0.74,0.4,0.57,0.93
AL359885.1,0.0,0.07,0.06,0.17,0.21,0.0,0.12,0.0
AL359551.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
SNRPFP1,3.46,2.28,2.06,1.35,0.0,0.0,0.0,0.84
KF459542.1,0.55,0.4,0.39,0.0,0.2,0.0,0.0,1.11
AL109615.2,0.05,0.18,0.14,0.2,0.1,0.0,0.06,0.05
PRH1,2.67,2.99,2.87,2.17,2.13,2.39,2.58,2.88
TRAF3IP2-AS1,2.07,3.01,2.92,3.1,3.45,2.11,2.57,2.81
DARS-AS1,12.63,18.65,19.81,15.84,11.14,17.14,13.24,14.4
AC079354.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
SETP10,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
IDH1-AS1,2.99,3.38,3.54,2.17,3.59,1.47,2.41,1.76
AC006033.1,0.81,1.31,0.24,0.0,0.44,0.46,0.0,0.98
TAPBP,53.94,54.53,43.36,51.22,43.45,41.88,40.69,40.04
RPS7P3,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA1P36,0.0,0.0,0.0,0.08,0.1,0.21,0.0,0.0
DPY19L1P2,0.0,0.0,0.0,0.09,0.1,0.0,0.0,0.1
AL031432.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.04
AC007383.2,0.5,0.72,1.98,2.01,2.3,2.24,3.15,2.4
HNRNPA1P9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
AF131215.1,0.27,0.0,0.0,0.0,0.56,0.0,0.0,0.0
MMADHC-DT,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.04
AL355490.2,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0
FAM238B,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2
PPP1R2B,0.11,0.07,0.09,0.13,0.15,0.12,0.17,0.14
ANXA2P2,0.44,0.72,0.46,0.36,0.18,0.56,0.71,0.66
EP300-AS1,0.0,0.0,0.41,0.56,1.11,0.39,0.42,0.0
AL590399.4,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0
LRRC8C-DT,2.3,2.11,2.16,1.98,2.04,2.37,1.83,1.83
CAP1P2,0.0,0.14,0.16,0.09,0.11,0.12,0.07,0.03
AC005537.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
DNMT3L-AS1,0.79,0.34,0.77,0.43,0.28,0.0,1.26,0.63
AC074183.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
LEF1-AS1,0.0,0.21,0.22,0.07,0.0,0.0,0.0,0.0
FAAHP1,0.0,0.34,0.84,0.21,0.13,0.43,0.18,0.07
LSM12P1,5.71,4.4,3.96,1.76,4.84,6.48,2.73,4.14
AL671986.1,0.0,0.0,0.0,0.0,0.1,0.0,0.11,0.05
AC007391.1,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0
AL590556.1,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL133230.1,0.1,0.04,0.02,0.04,0.09,0.02,0.03,0.01
SILC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
AC093390.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
AL451007.1,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0
SLC4A1APP1,0.0,0.14,0.24,0.17,0.0,0.48,0.49,0.2
AL691447.2,0.0,0.13,0.04,0.03,0.07,0.04,0.04,0.03
LINC01063,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0
TMEM253,0.0,0.0,0.0,0.0,0.07,0.22,0.24,0.0
MRPL35P2,0.0,0.0,0.32,0.22,0.29,0.0,0.0,0.13
LINC01697,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
DCST1-AS1,1.07,1.36,1.25,1.17,1.22,1.68,1.68,1.47
AC079781.3,0.0,0.0,0.37,0.0,0.0,0.0,0.74,0.0
AC012313.1,4.57,4.16,4.61,4.31,5.45,5.59,5.68,4.53
RFX3-AS1,0.24,1.29,0.95,0.72,0.74,0.33,1.25,0.12
TMA7,422.93,547.76,488.18,393.02,454.0,411.24,467.39,444.29
LINC00384,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
MCTS1,42.99,51.26,50.56,48.83,48.87,50.31,55.37,48.33
AP001057.1,0.6,0.81,1.17,0.85,0.83,0.93,0.91,0.82
IMPDH1P10,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
RPS15AP12,1.01,0.33,0.0,0.0,0.55,0.0,0.0,0.24
FERP1,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.12
ST13P4,0.31,0.16,0.2,0.44,0.15,0.0,0.3,0.07
RAP2C-AS1,0.1,0.13,0.03,0.43,0.58,0.06,0.07,0.12
RPLP1P13,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0
AL359092.2,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
AL161909.1,0.15,0.1,0.52,0.12,0.47,0.33,0.18,0.14
MTND4P24,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.23
CNOT7P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
TERF1P7,0.07,0.09,0.16,0.21,0.07,0.0,0.08,0.1
FTH1P7,0.28,0.91,0.42,0.78,0.29,0.53,0.62,0.12
LINC02181,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTRNR2L4,0.04,0.0,0.02,0.04,0.0,0.0,0.0,0.02
AL596442.1,2.8,3.6,3.78,3.86,2.58,4.52,1.9,2.12
CHORDC1P1,0.0,0.0,0.05,0.08,0.0,0.1,0.0,0.04
SLC25A6P2,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
AL139415.1,2.58,0.42,0.38,1.03,0.0,0.73,0.76,0.0
AC008440.1,12.9,5.3,4.25,11.29,4.6,4.63,2.53,2.46
RPL36AP16,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.41
LINC00865,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
LINC02043,0.0,0.16,0.12,0.03,0.12,0.04,0.1,0.1
ASCL5,0.0,0.04,0.04,0.0,0.0,0.0,0.04,0.05
AL158166.2,0.41,0.09,0.73,0.57,0.86,0.3,0.16,0.33
BTF3L4P1,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
ACTR3P2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03
FTH1P1,0.25,0.0,0.15,0.21,0.27,0.0,0.0,0.0
AL133260.2,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
AL589935.1,0.0,0.11,0.35,0.0,0.0,0.0,0.0,0.0
FAM215B,1.54,1.19,1.13,1.19,1.23,1.22,1.11,1.15
DFFBP1,0.14,0.38,0.1,0.08,0.28,0.2,0.18,0.14
MXRA7P1,0.0,0.19,0.17,0.0,0.0,0.0,0.36,0.0
AC093627.1,0.22,0.07,0.0,0.09,0.11,0.0,0.0,0.0
ARL5AP5,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0
RPS27AP2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
AL354864.1,0.25,0.0,0.0,0.2,0.26,0.83,0.0,0.12
RPL4P2,0.0,0.04,0.0,0.0,0.0,0.0,0.07,0.0
AC022540.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
AC087163.1,0.34,0.0,0.26,0.28,0.12,0.24,0.13,0.0
Z74021.1,63.26,89.63,89.58,84.44,102.44,95.43,94.74,77.58
AL390728.5,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.15
VIPR1-AS1,0.0,0.03,0.0,0.0,0.26,0.0,0.0,0.0
ATP5MGP2,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
FTLP2,0.26,0.0,0.15,0.0,0.27,0.0,0.0,0.0
PPIAP35,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.14
MTCYBP3,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
GPR79,0.0,0.07,0.13,0.0,0.0,0.0,0.13,0.0
ZDHHC20P4,0.0,0.0,0.05,0.06,0.0,0.0,0.0,0.04
RPS3AP25,0.0,0.08,0.07,0.0,0.0,0.0,0.0,0.0
AC015712.1,0.57,0.3,0.24,0.22,0.57,0.0,0.32,0.0
SKA2P1,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.48
SMIM26,77.38,104.55,91.14,90.12,99.06,79.98,101.25,87.55
AL583856.1,0.23,0.1,0.23,0.19,0.11,0.0,0.18,0.0
RAD17P1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
RPL27P5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AL121895.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
AC009495.2,0.0,0.0,0.0,0.0,0.3,0.32,0.34,0.0
AL121601.1,0.0,1.54,0.0,0.0,1.76,0.9,0.92,0.77
ELN-AS1,0.0,0.32,0.15,0.0,0.0,0.0,0.0,0.49
KNOP1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
AC055876.1,4.32,6.74,5.45,4.49,4.82,3.88,2.58,3.34
AJM1,1.5,1.99,1.41,1.15,1.33,0.88,1.45,1.24
RPL18AP7,0.26,0.67,0.15,0.42,0.0,0.29,0.94,0.63
MHENCR,6.82,6.1,6.97,7.92,6.72,5.85,7.13,6.44
EMSLR,3.66,4.84,5.25,5.61,5.37,4.36,7.42,6.24
AL133517.1,0.41,0.18,0.16,0.11,0.14,0.15,0.16,0.33
LINC02777,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.06
AL138752.1,0.0,2.11,0.0,0.52,0.0,0.0,0.76,1.88
LARS2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
SLC16A6P1,0.25,0.26,0.22,0.29,0.0,0.27,0.63,0.33
BMPR1AP2,0.0,0.14,0.06,0.19,0.0,0.0,0.1,0.0
H3P31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
AL136368.1,0.0,0.0,0.0,0.0,1.01,0.0,0.55,0.45
EEF1B2P3,8.1,9.9,9.57,7.84,6.48,6.3,9.01,7.29
KRT8P52,0.0,0.04,0.04,0.0,0.0,0.07,0.07,0.03
RPL37A-DT,0.28,0.18,0.2,0.11,1.3,0.63,1.15,0.37
DEPDC1P2,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
RASA3-IT1,0.0,0.34,0.0,0.0,0.0,0.6,1.26,0.26
MFAP1P1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03
SAPCD2P3,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0
AL391058.1,1.43,0.64,1.07,1.0,0.62,0.84,0.89,0.97
AC074366.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
AL353807.2,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0
GCSIR,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL109809.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
KMT5AP2,0.08,0.11,0.05,0.07,0.0,0.18,0.0,0.0
AC093673.1,7.92,11.85,9.05,8.47,7.52,7.22,7.56,4.2
LINC00945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
DPYD-IT1,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
CLK2P1,0.06,0.12,0.04,0.05,0.06,0.07,0.0,0.06
PRCPP1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
MRTFA-AS1,0.08,0.05,0.02,0.0,0.08,0.08,0.04,0.0
RPL23AP35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
RPL3P4,23.07,36.96,24.19,22.1,20.48,22.86,20.18,17.24
AC093311.1,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0
AC079742.1,0.38,0.0,0.0,2.83,2.4,0.0,4.83,0.0
KIAA1614-AS1,0.13,0.38,0.01,0.47,0.4,0.44,0.49,0.1
EEF1A1P3,0.23,0.37,0.57,0.14,0.41,0.55,0.87,0.57
LINC02642,0.23,0.15,0.41,0.0,0.24,0.52,0.56,0.22
KANTR,1.97,2.01,2.01,2.03,2.2,2.37,2.88,2.0
TONSL-AS1,0.0,0.26,0.24,0.0,0.0,0.0,0.0,0.0
LINC01412,0.0,0.0,0.36,0.48,1.97,0.0,0.0,0.29
AL683813.1,0.11,0.13,0.13,0.12,0.25,0.29,0.18,0.15
LINC02576,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
AC026412.2,0.0,0.14,0.05,0.14,0.08,0.26,0.06,0.15
MRAP-AS1,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.0
AC099336.1,0.34,0.0,0.08,0.0,0.0,0.0,0.0,0.16
AC092809.2,1.15,0.0,0.0,0.31,0.0,0.0,1.83,0.92
PRPS1P2,0.49,0.75,0.23,0.16,0.6,0.95,0.46,0.09
NEFLP1,0.46,0.69,0.58,0.23,0.65,0.59,0.53,0.65
AL354892.2,4.16,2.41,2.19,3.34,1.51,2.1,0.55,1.34
AC008073.2,0.0,0.0,0.07,0.0,0.0,0.0,0.15,0.0
LINC01431,0.27,0.72,0.16,0.66,0.29,0.0,0.0,0.26
AC107214.1,0.23,0.0,0.0,0.19,0.0,0.26,0.0,0.0
GOLGA8N,90.63,89.0,87.01,97.84,85.33,91.86,93.23,81.22
IDI2-AS1,0.19,0.42,0.13,0.0,0.54,0.18,0.0,0.11
LDHBP1,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0
ZNF687-AS1,1.58,2.61,1.93,1.23,0.99,2.23,4.53,2.0
LINC00665,0.2,0.37,0.23,0.02,0.19,0.16,0.15,0.14
SPTLC1P4,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0
ATP11A-AS1,0.0,0.04,0.06,0.03,0.0,0.03,0.0,0.05
RPL12P9,0.0,0.19,0.0,0.0,0.32,0.34,0.0,0.0
AP001596.1,0.2,0.13,0.0,0.0,0.27,0.0,0.09,0.53
AC017006.2,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.16
BDH2P1,0.0,0.09,0.0,0.0,0.15,0.0,0.17,0.07
AL158050.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
NUTM2HP,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
MARK2P9,0.09,0.08,0.05,0.0,0.0,0.0,0.0,0.06
AC254562.2,0.0,0.11,0.0,0.14,0.0,0.0,0.0,0.0
KIZ-AS1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03
RPS12P3,0.47,1.2,0.55,1.13,0.0,0.0,0.0,0.45
AC007272.1,0.0,0.1,0.08,0.0,0.0,0.11,0.2,0.13
AC239800.2,0.69,0.81,0.72,0.78,0.53,0.58,1.48,0.93
TRIM80P,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0
U52111.1,0.1,0.06,0.24,0.08,0.21,0.11,0.48,0.05
YWHAEP1,0.0,0.08,0.08,0.11,0.0,0.29,0.16,0.13
AC211433.1,0.2,0.27,0.2,0.35,0.0,0.07,0.15,0.12
FAM8A4P,0.07,0.0,0.12,0.0,0.21,0.0,0.0,0.0
AC097717.1,0.3,0.0,0.0,0.12,0.0,0.22,0.29,0.06
AC007551.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOQP2,0.0,0.0,0.13,0.0,0.23,0.0,0.0,0.02
AC135050.1,0.45,0.41,0.38,0.39,0.57,0.49,0.23,0.36
AL162726.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.08
AL139132.1,0.0,0.44,0.0,0.0,0.0,0.0,0.8,0.0
AC004990.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
ETF1P1,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0
AC103564.2,0.13,0.04,0.04,0.0,0.0,0.0,0.0,0.0
BMS1P22,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.06
RPL23AP50,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
FRG2FP,1.96,0.66,1.13,0.37,0.73,0.38,0.0,0.33
ITGA6-AS1,1.37,0.87,0.96,0.89,0.29,0.77,0.98,0.46
HNRNPDP1,0.14,0.17,0.08,0.11,0.0,0.15,0.0,0.06
SDCBPP3,0.0,0.0,0.06,0.09,0.11,0.0,0.0,0.05
SLCO4A1-AS1,0.17,0.56,0.16,0.48,0.45,0.24,0.63,0.26
AL137186.2,0.28,0.14,0.17,0.16,0.24,0.14,0.13,0.22
TNF,18.46,21.32,19.4,20.51,16.93,17.48,17.38,13.85
AL360270.1,3.22,2.04,2.63,2.79,1.96,2.79,1.87,2.27
DUX4L50,1.94,3.31,2.17,1.46,2.62,1.31,2.65,2.06
RPS2P32,1.58,2.47,2.02,1.56,1.4,0.68,1.11,1.25
LMLN-AS1,1.22,0.78,0.57,2.38,0.77,0.82,0.29,1.29
LINC01700,0.0,0.0,0.03,0.04,0.0,0.05,0.06,0.0
PET117,8.69,10.32,9.91,9.12,10.95,9.87,10.88,9.95
KAT7P1,0.09,0.06,0.21,0.22,0.18,0.0,0.11,0.04
CICP4,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.0
KATNBL1P2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL34P27,0.66,0.0,0.39,0.0,0.73,0.0,0.0,0.0
LYRM9,0.73,1.46,1.71,0.84,1.72,0.82,1.46,1.41
SMG7-AS1,0.52,0.57,0.55,0.62,0.39,0.71,0.33,0.38
AL138787.1,0.0,0.07,0.0,0.09,0.0,0.0,0.0,0.0
